Date,Open,High,Low,Close,Adj Close,Volume
2014-07-25,158.033005,158.266998,148.332993,151.367004,143.81991599999998,10261803
2014-07-28,152.100006,153.932999,150.399994,153.233002,145.592896,6001330
2014-07-30,153.0,154.667007,150.132996,153.966995,146.29028300000002,6979158
2014-07-31,153.367004,156.533005,151.399994,152.233002,144.64271499999998,5879385
2014-08-01,150.733002,153.800003,148.733002,149.399994,141.951004,5870952
2014-08-04,150.067001,153.266998,149.667007,152.632996,145.02281200000002,5579028
2014-08-05,153.266998,153.800003,150.0,152.100006,144.516357,4930218
2014-08-06,151.332993,156.266998,151.0,152.966995,145.340134,7148994
2014-08-07,152.167007,155.667007,152.167007,153.899994,146.22659299999998,4651636
2014-08-08,152.0,152.0,146.332993,147.266998,139.92434699999998,7339929
2014-08-11,148.733002,150.0,146.5,147.699997,140.335739,5079640
2014-08-12,147.733002,150.0,145.5,149.466995,142.014633,7713405
2014-08-13,142.632996,143.899994,136.332993,139.800003,132.829651,22653099
2014-08-14,139.466995,143.199997,136.832993,141.966995,134.888596,10103157
2014-08-18,141.332993,148.667007,141.067001,148.067001,140.684464,9381404
2014-08-19,148.800003,152.132996,147.800003,151.699997,144.13630700000002,10837560
2014-08-20,150.399994,154.932999,150.399994,154.300003,146.606674,9028534
2014-08-21,153.932999,154.899994,152.0,153.132996,145.497849,6196278
2014-08-22,153.699997,154.800003,151.0,151.667007,144.10495,5367142
2014-08-25,152.233002,157.332993,152.033005,154.832993,147.11308300000002,9614661
2014-08-26,153.632996,157.567001,149.399994,155.332993,147.588181,7037295
2014-08-27,156.067001,157.966995,151.266998,152.766998,145.150116,6756668
2014-08-28,153.667007,162.632996,152.432999,160.600006,152.592575,19260626
2014-09-01,160.466995,162.332993,158.033005,159.0,151.072342,8189760
2014-09-02,158.667007,162.067001,158.0,160.199997,152.212494,5451334
2014-09-03,160.367004,161.332993,156.899994,157.899994,150.027161,6062769
2014-09-04,156.667007,156.733002,150.699997,151.367004,143.81991599999998,16035526
2014-09-05,151.399994,151.733002,147.399994,148.533005,141.127228,7700230
2014-09-08,148.966995,150.533005,148.067001,149.233002,143.258331,5194578
2014-09-09,149.266998,149.632996,147.0,147.466995,141.56303400000002,5136804
2014-09-10,146.0,148.600006,145.332993,146.067001,140.219086,5367212
2014-09-11,146.367004,148.899994,144.067001,148.466995,142.522995,7617610
2014-09-12,149.233002,150.332993,146.399994,147.132996,141.242386,7838391
2014-09-15,145.667007,148.600006,144.167007,146.966995,141.083054,5586012
2014-09-16,147.067001,148.466995,143.199997,143.932999,138.170517,6470000
2014-09-17,144.733002,147.899994,143.632996,147.100006,141.210724,6102651
2014-09-18,146.332993,152.800003,145.632996,152.399994,146.298523,8209140
2014-09-19,154.432999,155.067001,148.332993,151.0,144.95460500000002,14708558
2014-09-22,149.667007,150.300003,146.966995,147.766998,141.851028,5813163
2014-09-23,147.766998,149.733002,143.567001,144.300003,138.52281200000002,5266473
2014-09-24,144.0,145.699997,139.667007,141.100006,135.450943,6936720
2014-09-25,142.0,142.899994,134.033005,135.367004,129.947464,13262446
2014-09-26,135.332993,137.632996,133.533005,136.899994,131.419098,7110981
2014-09-29,137.266998,140.932999,137.067001,138.5,132.95503200000002,5882166
2014-09-30,137.132996,140.0,132.466995,133.632996,128.282898,6804099
2014-10-01,133.600006,134.899994,132.399994,132.966995,127.643555,5278448
2014-10-07,133.332993,135.600006,129.466995,131.632996,126.36296100000001,9223857
2014-10-08,131.667007,137.0,131.367004,134.733002,129.338852,11517303
2014-10-09,138.800003,146.667007,138.800003,146.033005,140.186462,17693673
2014-10-10,143.332993,150.266998,142.466995,147.733002,141.81839,18470979
2014-10-13,144.432999,147.5,144.432999,145.466995,139.643082,7694571
2014-10-14,146.332993,151.867004,143.832993,150.667007,144.63493300000002,9859420
2014-10-15,150.667007,150.667007,150.667007,150.667007,144.63493300000002,0
2014-10-16,151.067001,153.199997,145.332993,146.399994,140.53874199999998,10655256
2014-10-17,147.067001,152.0,146.932999,151.167007,145.114914,6154102
2014-10-20,154.466995,155.332993,149.432999,152.033005,145.946228,6075170
2014-10-21,152.367004,159.667007,152.0,158.966995,152.6026,11558667
2014-10-22,160.132996,162.567001,158.632996,161.132996,154.6819,9060129
2014-10-27,165.332993,169.266998,160.832993,168.432999,161.689621,15048057
2014-10-28,168.432999,171.733002,164.332993,170.199997,163.385895,7655534
